Test File Name, Nodes Expanded, Nodes In The Frontier
input10.txt,100,0
input1.txt,5,0
input2.txt,242,0
input3.txt,27,0
input4.txt,149,0
input5.txt,35,0
input6.txt,64,0
input7.txt,140,0
input8.txt,178,0
input9.txt,178,0
