Test File Name, Nodes Expanded, Nodes In The Frontier
input10.txt,75,4
input1.txt,5,0
input2.txt,31,4
input3.txt,27,0
input4.txt,76,2
input5.txt,32,2
input6.txt,62,2
input7.txt,126,5
input8.txt,130,9
input9.txt,130,9
